Destino,Lat,Long
Loreto,26.0118,-111.3478
Los Cabos,22.8905,-109.9167
Ixtapa,17.6626,-101.5873
Nayarit,21.7514,-104.8455
Huatulco,15.834,-96.3199
Cancun,21.160556,-86.8475
