Ano,Estado,Occupation_Pct,Total_Visitors,Total_Visitors_Domestic,Total_Visitors_Foreign,Total_Overnight,Total_Overnight_Domestic,Total_Overnight_Foreign
2013,Zacatecas,40.4276963,1004871,984110.458,20760.54203,1530441.365,1461060.701,69380.66387
2012,Aguascalientes,44.08607059,498627,453493.8153,45133.18466,1072711.851,876972.0435,195739.808
2012,Baja California,38.15012457,3102040.919,2220413.823,881627.0963,3989984.278,2851356.74,1138627.538
2012,Baja California Sur,58.27042982,1875947.373,779509.4588,1096437.915,7582865.657,2051538.042,5531327.614
2012,Campeche,52.5185898,1241354.549,1041914.978,199439.5707,2004265.627,1711666.595,292599.0327
2012,Chiapas,37.58486349,3615889.17,3258331.317,357557.8533,4438514.407,3970506.6,468007.807
2012,Chihuahua,40.12264496,3566384.382,3263280.039,303104.3436,5003261.48,4549555.043,453706.4371
2012,Coahuila,47.00911892,1442042.772,1352257.044,89785.728,2288609.745,2109489.283,179120.4617
2012,Colima,44.50604415,1043999.246,999969.954,44029.29194,2979021.92,2845996.707,133025.2134
2012,Distrito Federal,62.45177903,11859457,9662201,2197256,23801610,19026862,4774748
2012,Durango,44.32241414,586575.2,578258.4451,8316.754898,870215.0208,856858.0511,13356.96964
2012,Guanajuato,43.39097392,3328089,3231862,96227,4860416,4626742,233674
2012,Guerrero,42.44381127,5408736.501,5208389.504,200346.9977,9629675.19,8929107.969,700567.2206
2012,Hidalgo,48.00604095,1798323,1786875,11448,2263776,2251190,12586
2012,Jalisco,47.58368211,6603529.932,5828896.431,774633.5005,12807985.36,9794626.007,3013359.356
2012,M�xico,35.52276389,2606733.507,2351124.854,255608.6536,3755386.048,3210023.954,545362.0932
2012,Michoac�n,39.61534357,2705284.57,2663896.214,41388.35562,3530281.823,3467437.08,62844.74248
2012,Morelos,36.71935572,1304322.233,1190549.539,113772.6936,1813415.922,1685860.911,127555.0103
2012,Nayarit,46.364,1564374,1280156.538,284217.4619,4849559.4,3881297.992,968261.4077
2012,Nuevo Le�n,48.34728738,1744073.983,1531187.933,212886.0506,3683127.117,3245965.974,437161.1424
2012,Oaxaca,39.9837531,2524344.752,2364691.895,159652.8565,4699559.046,4152211.455,547347.5907
2012,Puebla,53.14924396,2854943,2553158.003,301784.9968,4080374.279,3541129.068,539245.2113
2012,Quer�taro,52.48495682,1513352,1432375,80977,2669222,2482725,186497
2012,Quintana Roo,69.87,9416635,3033722,6382913,40114865.1,6142545.072,33972320.03
2012,San Luis Potos�,43.8499104,1082064.825,980354.0794,101710.7453,2067281.348,1856968.17,210313.1785
2012,Sinaloa,45.70462052,2750864.774,2383715.145,367149.6295,6271063.598,4986348.288,1284715.309
2012,Sonora,51.03409296,2162037.397,2002966.929,159070.4672,4312492.181,3963839.041,348653.14
2012,Tabasco,53.78002038,1228170.133,1148475.764,79694.36911,2217971.685,2071617.898,146353.7875
2012,Tamaulipas,40.22810709,2578411.292,2561908.377,16502.91453,4471748.449,4436983.955,34764.49378
2012,Tlaxcala,34.32796186,291730,284389,7341,361922.4055,350628.346,11294.05956
2012,Veracruz,43.80448157,5151131.096,4926371.144,224759.9515,7422369.615,7008250.521,414119.0938
2012,Yucat�n,52.47221434,1748252.384,1425523.093,322729.2914,3077081.207,2598422.789,478658.4181
2012,Zacatecas,39.91378011,912713,887576,25137,1470034,1398751,71283
2011,Aguascalientes,38.66361966,506569,474221,32348,901722.2075,821251.7084,80470.49912
2011,Baja California,36.08948371,2837574.949,1939492.112,898082.837,3789534.32,2572287.028,1217247.292
2011,Baja California Sur,54.04179511,1742295.201,712826.4979,1029468.703,6786121.901,1685788.506,5100333.395
2011,Campeche,51.78031436,1171507.028,993364.5531,178142.4748,1896111.893,1650949.768,245162.1248
2011,Chiapas,37.29203471,3466520.912,3038772.75,427748.1621,4277909.645,3756375.072,521534.5729
2011,Chihuahua,43.55133587,3417028.238,3204401.219,212627.0195,5361612.181,4952856.088,408756.093
2011,Coahuila,42.26860696,1210719.357,1072106.08,138613.2772,2037874.955,1720912.34,316962.6153
2011,Colima,45.13805188,987646.5602,945126.8675,42519.69265,2700228.674,2589220.962,111007.7122
2011,Distrito Federal,57.39911927,11206116,9185998,2020118,22141737,17622173,4519564
2011,Durango,41.63589151,571946,565429,6517,855631.1911,848034.1191,7597.072089
2011,Guanajuato,39.12658683,2976899,2896475,80424,4266915,4089089,177826
2011,Guerrero,38.88867003,5045895.771,4850317.316,195578.4547,8983233.198,8315239.666,667993.5316
2011,Hidalgo,37.05417489,1795890,1705160,90730,1859839,1766326,93513
2011,Jalisco,46.35720423,6144571.326,5372254.775,772316.5508,13150998.18,10154602.61,2996395.568
2011,M�xico,37.25235893,3153503.031,2742281.374,411221.6569,3717912.192,3074298.341,643613.851
2011,Michoac�n,38.48652635,2614066.804,2564506.236,49560.56835,3411183.074,3337283.648,73899.42575
2011,Morelos,36.9258263,1255671.053,1141184.032,114487.0215,1645237.521,1519169.039,126068.4812
2011,Nayarit,45.89689007,1935260,1694269,240991,7275662.238,5915704.148,1359958.089
2011,Nuevo Le�n,41.24950268,1621573,1461381,160192,3061251,2752298,308953
2011,Oaxaca,39.1362702,2672394,2501955,170439,4838195.4,4256333.987,581861.4138
2011,Puebla,49.21343319,2480977.153,2199115.153,281862,3457022.672,2976379.417,480643.2559
2011,Quer�taro,50.46506185,1361402,1293373,68029,2385843.84,2224098.505,161745.3352
2011,Quintana Roo,62.99266644,8679586,2761876,5917710,38059517.76,6861090.731,31198427.03
2011,San Luis Potos�,46.89063306,1045677,910360,135317,1712019.422,1428205.774,283813.6482
2011,Sinaloa,45.88393926,2739788.302,2311263.364,428524.938,6350774.631,4769286.243,1581488.389
2011,Sonora,49.08719626,2108227.076,1963850.909,144376.1671,3983452.331,3686179.045,297273.2865
2011,Tabasco,46.88584306,999075.4888,948727.8887,50347.60015,1773272.735,1679281.275,93991.45968
2011,Tamaulipas,36.45011031,2871846.597,2862654.977,9191.619944,3804768.942,3789268.205,15500.73678
2011,Tlaxcala,28.98455144,250190,247637,2553,339065.5561,333176.6733,5888.882843
2011,Veracruz,43.21445224,4682443,4485772,196671,6647483.427,6294308.539,353174.8877
2011,Yucat�n,53.53420004,1746060.784,1456158.207,289902.577,3069482.586,2636981.019,432501.5664
2011,Zacatecas,36.12469552,815366.6972,788570.3295,26796.3677,1394908.381,1307038.439,87869.94168
2010,Aguascalientes,33.93234339,466343,450031,16312,839778.1081,797023.1163,42754.99171
2010,Baja California,34.67604114,2741179.949,1838744.025,902435.9234,3654970.87,2444234.007,1210736.864
2010,Baja California Sur,53.98584787,1622679.113,703117.4172,919561.696,6512455.303,1595898.114,4916557.19
2010,Campeche,54.15416125,1092178,965257.2445,126920.7555,1731498.103,1567747.134,163750.9684
2010,Chiapas,37.30780646,3234443.863,2820068.277,414375.5855,4101643.502,3587129.9,514513.6021
2010,Chihuahua,49.0217592,3502226.49,3309882.391,192344.0988,5656838.68,5297437.249,359401.4307
2010,Coahuila,42.24486447,1126342.853,963999.4047,162343.4483,1831318.293,1437309.085,394009.208
2010,Colima,44.23450986,1001455.25,972093.1002,29362.14968,2589258.768,2473757.172,115501.5955
2010,Distrito Federal,52.31564035,9899693,8099736,1799957,19389053,15250030,4139023
2010,Durango,43.14645914,619824,614930,4894,910838.9326,904502.0661,6336.866548
2010,Guanajuato,38.63925078,2828975,2731477,97498,4154854,3954459,200395
2010,Guerrero,47.98537501,6128855.234,5889279.335,239575.8986,9349570.882,8548532.895,801037.9876
2010,Hidalgo,28.61008789,1063757,1003962,59795,1178414,1111383,67031
2010,Jalisco,45.12706376,5802264.293,4998363.823,803900.47,12455004.88,9164559.093,3290445.786
2010,M�xico,35.92398131,3030155.063,2403182.761,626972.3018,3198369.948,2516633.397,681736.551
2010,Michoac�n,41.99136078,2850699,2790978,59721,3841812.919,3741818.671,99994.24864
2010,Morelos,35.43555614,1299322.941,1163465.472,135857.4687,1690808.68,1533029.623,157779.0571
2010,Nayarit,57.94052838,1892559.137,1314389.604,578169.533,7533526.251,4261820.04,3271706.211
2010,Nuevo Le�n,42.83989413,1687135.195,1467702.043,219433.1525,3174277.916,2731624.895,442653.0216
2010,Oaxaca,37.90783274,2597092.188,2450687.188,146405,4666792.001,4160462.651,506329.3501
2010,Puebla,47.96307078,2294254,2041750.735,252503.2648,3225429.499,2718993.577,506435.9217
2010,Quer�taro,49.90944409,1252577,1195910,56667,2080501.97,1974878.647,105623.3228
2010,Quintana Roo,60.75609611,8606936.312,2780106.049,5826830.263,37040664.8,6631381.071,30409283.73
2010,San Luis Potos�,45.48950473,1093917,949293,144624,1573378.725,1288762.871,284615.8545
2010,Sinaloa,46.96363362,2797425.718,2267010.218,530415.5002,6305652.297,4558748.446,1746903.851
2010,Sonora,45.71586177,1994148.295,1851664.973,142483.3215,3624228.892,3387005.088,237223.8043
2010,Tabasco,46.5483559,995807.4659,955384.1638,40423.3021,1749748.003,1677571.42,72176.58381
2010,Tamaulipas,28.93185564,2606728.502,2594859.848,11868.65414,2905770.563,2879994.92,25775.64342
2010,Tlaxcala,28.19598128,255649,253256,2393,374686.8218,368300.7298,6386.09199
2010,Veracruz,43.8637331,4668204,4472367,195837,6805843.238,6481654.47,324188.7674
2010,Yucat�n,49.63829952,1574931.632,1311803.072,263128.56,2657868.825,2242767.528,415101.2976
2010,Zacatecas,40.99098715,977577,936461,41116,1716505.834,1578727.178,137778.6566
2009,Aguascalientes,31.72735128,385646,373793,11853,718389.0521,685456.9919,32932.06022
2009,Baja California,36.47686738,2346269.811,1441606.218,904663.5928,3562448.261,2327446.342,1235001.919
2009,Baja California Sur,50.72244952,1835127.572,690879.7249,1144247.847,6173943.196,1484336.056,4689607.14
2009,Campeche,51.28328233,1074129,945351,128778,1641682.637,1474306.662,167375.975
2009,Chiapas,37.9374937,3106162.163,2677157.74,429004.4234,4018621.316,3485727.858,532893.4584
2009,Chihuahua,47.23107194,3110713.434,2844386.181,266327.2527,5261686.664,4787235.587,474451.0774
2009,Coahuila,44.34060639,1254092.57,1088071.485,166021.0849,1908016.344,1541258.477,366757.8671
2009,Colima,43.8155841,983104.4806,916022.2353,67082.24535,2481261.316,2308434.308,172827.0084
2009,Distrito Federal,45.74807278,9179626,7295374,1884252,17311370,13310087,4001283
2009,Durango,41.25477566,479350.7597,461061.8668,18288.89286,814435.8064,792633.784,21802.02234
2009,Guanajuato,34.86514305,2501582,2405398,96184,3631565,3439853,191712
2009,Guerrero,36.82793663,6440458.877,6223348.706,217110.1719,8337418.038,7638730.324,698687.7136
2009,Hidalgo,20.90752596,810423,740831,69592,875460,801718,73742
2009,Jalisco,43.97729269,5471720.535,4684957.951,786762.5844,11937217.94,8697497.875,3239720.067
2009,M�xico,35.12346589,3077089.357,2758440.483,318648.874,3339215.616,3003981.857,335233.7589
2009,Michoac�n,39.75653478,2558417.509,2484546.187,73871.32231,3733319.927,3617474.098,115845.8291
2009,Morelos,36.76895339,1346394.369,1272738.239,73656.1299,1872190.521,1773785.478,98405.04277
2009,Nayarit,51.4700285,1749616.722,1208826.933,540789.7887,5950642.155,3450235.576,2500406.579
2009,Nuevo Le�n,45.6585452,1903941.057,1639731.114,264209.9422,3377073.065,2882644.267,494428.7983
2009,Oaxaca,38.80649725,2431570,2229237,202333,4291357.117,3662798.113,628559.0034
2009,Puebla,46.77302655,2111407,1879512,231895,2988154.76,2559411.048,428743.7116
2009,Quer�taro,46.05121015,1120019,1069288,50731,1846291.162,1748683.164,97607.99793
2009,Quintana Roo,55.95387213,8080898.667,2692405.037,5388493.63,32428965.13,6405093.369,26023871.76
2009,San Luis Potos�,45.27989989,1138713,981039,157674,1884593.246,1607275.792,277317.4542
2009,Sinaloa,49.79833996,2577528.879,2170718.835,406810.0444,6110894.107,4569968.852,1540925.255
2009,Sonora,46.36449353,2130303.064,1984674.714,145628.35,3552841.693,3293718.841,259122.8515
2009,Tabasco,44.46582015,1016602.65,974908.5465,41694.10353,1649468.348,1584607.386,64860.96214
2009,Tamaulipas,36.00110071,2784689.295,2706521.19,78168.10541,3885771.864,3672201.927,213569.9366
2009,Tlaxcala,26.95652888,260692,257464,3228,388238.6762,380992.3006,7246.375657
2009,Veracruz,45.57216636,4614970,4517559,97411,6648942.636,6490342.611,158600.0243
2009,Yucat�n,46.85617881,1395709.844,1094066.068,301643.7758,2343446.746,1888351.546,455095.1995
2009,Zacatecas,41.39465993,912633.8181,881349.64,31284.17814,1498297.212,1426268.458,72028.75363
2008,Aguascalientes,39.56326567,530170.1996,512667.4145,17502.78516,931726.6321,887847.2922,43879.33984
2008,Baja California,42.71989328,2933551.679,1914053.548,1019498.131,3961323.518,2623756.865,1337566.653
2008,Baja California Sur,56.87649587,2150095.362,794024.715,1356070.647,6313768.962,1630887.233,4682881.728
2008,Campeche,53.14834437,1021933.838,822853.3247,199080.5134,1486019.393,1220193.537,265825.8558
2008,Chiapas,39.20393141,2938859.502,2462826.307,476033.1943,3888682.073,3231948.346,656733.7267
2008,Chihuahua,58.17787752,3764188.536,3330495.322,433693.2137,5954505.051,5338626.749,615878.3011
2008,Coahuila,52.91440195,1328055.6,1126745.992,201309.6078,2243801.776,1756435.702,487366.0745
2008,Colima,43.167023,1034469.578,797431.7027,237037.8749,2156207.311,1892939.301,263268.0102
2008,Distrito Federal,56.11621434,10810638,8066299,2744339,21040494,15217336,5823158
2008,Durango,39.8891955,545800.2838,528557.7412,17242.5426,796210.0715,773204.1008,23005.9707
2008,Guanajuato,39.01083219,2655390,2522478,132912,3893603,3636681,256922
2008,Guerrero,45.84694151,7444347.67,7014125.802,430221.8679,9787811.424,8644684.739,1143126.685
2008,Hidalgo,26.48008836,1149461,1123226,26235,1251365,1215195,36170
2008,Jalisco,48.57308309,5679504.775,4613017.798,1066486.977,13127117.37,8871990.806,4255126.568
2008,M�xico,39.85395223,3257947.914,2911764.628,346183.2859,3911104.517,3510387.278,400717.2394
2008,Michoac�n,41.97718961,2576330,2482795,93535,3541438.266,3398650.561,142787.7044
2008,Morelos,41.46110506,1457569.341,1384091.865,73477.47603,2217011.942,2092964.31,124047.631
2008,Nayarit,58.21481601,1989042.88,1254712.442,734330.438,6498079.076,2690847.026,3807232.05
2008,Nuevo Le�n,56.05036041,2229963.724,1838642.476,391321.2479,4174391.643,3467184.141,707207.502
2008,Oaxaca,41.18387934,2734041,2568785.323,165255.6766,4271749.806,3796102.576,475647.2299
2008,Puebla,43.81271451,2311134.785,2050584.316,260550.4681,3359362.792,2916217.808,443144.984
2008,Quer�taro,53.29645074,1226629,1157726,68903,2014691,1894744,119947
2008,Quintana Roo,69.73540062,8311761.044,2198055.781,6113705.263,38671071.48,6240493.968,32430577.51
2008,San Luis Potos�,53.07038369,1325392.963,1232615.49,92777.47259,2235042.066,2073175.71,161866.3561
2008,Sinaloa,54.54328578,2337470.407,2001883.51,335586.8966,6031752.818,4347261.123,1684491.695
2008,Sonora,52.29000288,2378939.376,2199822.446,179116.9307,3684598.523,3347215.75,337382.7725
2008,Tabasco,51.99156243,1198521.613,1157613.641,40907.97218,1902856.343,1837492.397,65363.94639
2008,Tamaulipas,39.32516572,2951970.406,2838303.622,113666.7849,4433615.432,4236670.559,196944.8728
2008,Tlaxcala,33.49566815,301139,296102,5037,415206.6259,403231.1003,11975.52562
2008,Veracruz,47.56297184,4487169,4341349.035,145819.965,6790167.005,6547142.343,243024.6615
2008,Yucat�n,57.72520836,1689506.059,1255844.179,433661.8799,2861178.597,2193428.468,667750.1289
2008,Zacatecas,43.93918128,952985.8165,889755.7529,63230.06355,1512217.79,1391378.141,120839.6488
2007,Aguascalientes,45.14568509,476957.7428,454323.4721,22634.27066,806541.071,758691.567,47849.50395
2007,Baja California,45.1982044,3841115.877,2472062.772,1369053.105,5021982.72,3300018.899,1721963.821
2007,Baja California Sur,63.96674806,1974816.973,648200.4928,1326616.48,6992710.511,1734572.545,5258137.966
2007,Campeche,54.28203693,1086407.006,885130.4856,201276.5203,1510178.842,1261758.026,248420.8162
2007,Chiapas,39.54880132,2888250.26,2392720.349,495529.9112,3827856.171,3138633.189,689222.9825
2007,Chihuahua,49.6265,3036124.616,2567337.86,468786.7563,4760682.84,4140985.188,619697.6523
2007,Coahuila,-,-,-,-,-,-,-
2007,Colima,45.41429042,1062532.009,996726.8999,65805.10927,2410791.456,2184820.163,225971.2932
2007,Distrito Federal,56.34573111,10307002,7747198,2559804,20059934,14670353,5389581
2007,Durango,39.78880731,502799.5119,488891.7818,13907.73012,700749.5171,681881.5043,18868.01274
2007,Guanajuato,40.19930606,2795570.006,2657966.111,137603.8954,4046897.127,3775525.779,271371.3477
2007,Guerrero,46.17965476,6739776.754,6462723.429,277053.3251,10089679.34,8744396.767,1345282.575
2007,Hidalgo,32.6115643,1343245,1310581,32664,1506915,1468380,38535
